Id,Model
1006,FXX
1007,CCGT
1009,Lancer Evolution X GSR
1011,M3
1020,F50 GT
1022,430 Scuderia
1023,F40 Competizione
1034,Celica GT-Four ST205
1040,M1
1041,SVT Cobra R
1042,Skyline 2000GT-R
1043,Skyline GT-R V-Spec
1045,Firebird Trans Am GTA
1046,Viper SRT10 ACR
1059,Z4 M Coupe
1060,IMPREZA WRX STI
1063,Charger Daytona HEMI
1064,Camaro Z28
1069,Corvette ZR1
1086,Focus RS
1093,Corvette
1098,John Cooper Works
1103,370Z
1104,510
1105,DB5
1108,RS200 Evolution
1110,MX-5 Miata
1125,Reventón
1126,M5
1131,458 Italia
1154,250 Testa Rossa
1155,Cobra Daytona Coupe
1173,Murciélago LP 670-4 SV
1175,Zonda R
1184,RS 6
1202,SLS AMG
1215,NULL CAR
1216,RS 3 Sportback
1219,EB110 Super Sport
1220,TT RS Coupé
1231,Golf R
1234,911 Sport Classic
1246,MT900S
1260,LFA
1268,Z3 M Coupe
1269,2002 Turbo
1270,DMC-12
1271,250 California
1272,Escort RS Cosworth
1273,Civic Type R
1276,Firebird Trans Am
1277,Cuda 426 HEMI
1282,240SX SE
1285,GTO
1291,El Camino Super Sport 454
1293,Sierra Cosworth RS500
1296,190E 2.5-16 Evolution II
1297,Starion ESI-R
1299,242 Turbo Evolution
1300,Impala Super Sport 409
1301,D-Type
1302,Escort RS1800
1304,Gran Turismo S
1314,F1
1318,365 GTB/4
1319,599 GTO
1320,Mustang Mach 1
1322,Gallardo LP 570-4 Superleggera
1323,WRX STI
1328,Veyron Super Sport
1329,GSX
1330,Camaro Z28
1332,Dart HEMI Super Stock
1345,H1 Alpha
1350,X5 M
1351,SC300
1355,Mustang GT Coupe
1367,M5
1368,M5
1369,Zonda Cinque Roadster
1370,Avant RS2
1372,8 Litre
1376,Elise Series 1 Sport 190
1379,Impala Super Sport
1380,Scirocco S
1383,GTI VR6 Mk3
1385,1 Series M Coupe
1387,850 R
1388,M5
1392,Sesto Elemento
1395,MR2 SC
1398,Aventador LP700-4
1417,RS 5 Coupé
1418,M5
1426,RX-8 R3
1428,Scirocco R
1429,Nova Super Sport 396
1435,Beetle
1459,Bel Air
1460,F-150 SVT Raptor
1477,Transit SuperSportVan
1482,Gremlin X
1486,Lotus Cortina
1496,XKR-S
1500,C 63 AMG Coupé Black Series
1517,Celica GT-Four RC ST185
1522,Wrangler Rubicon
1523,Exige S
1525,SLK 55 AMG
1529,Capri RS3100
1530,De Luxe Coupe
1531,Vandura G-1500
1532,Venom GT
1533,Torana A9X
1536,A110 1600s
1539,911 GT2 RS
1562,SRT Viper GTS
1564,Corvette
1568,Civic RS
1574,Sprite MkI
1575,Monte Carlo Super Sport
1580,Escort RS1600
1581,F-100
